seed,draw,parameter,rank_frac,truth,sample_mean,sample_sd
3,11,eta_col,0.285,0.5916694402694702,0.59340900182724,0.003289801999926567
3,11,xi_reb,0.975,1.1778322458267212,1.1694154739379883,0.004480722360312939
3,11,z_A0_eff,0.725,0.9105016589164734,0.9080287218093872,0.0051485029980540276
3,12,alpha,0.765,1.0670764446258545,1.0641918182373047,0.003583737416192889
3,12,beta_r,0.46,0.583610475063324,0.5841196179389954,0.005175377242267132
3,12,eta_col,0.905,0.8563224077224731,0.8513361215591431,0.0035348194651305676
3,12,xi_reb,0.21,0.9875767230987549,0.9904980659484863,0.0038224670570343733
3,12,z_A0_eff,0.625,0.719657301902771,0.7187124490737915,0.002439154079183936
3,13,alpha,0.93,0.5282289981842041,0.5191017985343933,0.0060871439054608345
3,13,beta_r,0.965,0.6708518266677856,0.6450623869895935,0.013739085756242275
3,13,eta_col,0.385,0.931180477142334,0.9347111582756042,0.010529779829084873
3,13,xi_reb,0.69,1.0632787942886353,1.0612633228302002,0.004487970378249884
3,13,z_A0_eff,0.86,0.7089877724647522,0.7013070583343506,0.006305950693786144
3,14,alpha,0.975,1.0373051166534424,1.0318800210952759,0.0027741994708776474
3,14,beta_r,0.515,1.1454323530197144,1.1453347206115723,0.015618295408785343
3,14,eta_col,0.77,0.8951960802078247,0.8926551938056946,0.0031392553355544806
3,14,xi_reb,0.825,0.601179838180542,0.5988771319389343,0.0024242261424660683
3,14,z_A0_eff,0.755,0.8144038319587708,0.8127923011779785,0.002210525795817375
3,15,alpha,0.285,0.48033618927001953,0.486089289188385,0.009993336163461208
3,15,beta_r,0.525,0.48854565620422363,0.48794203996658325,0.01576211303472519
3,15,eta_col,0.83,0.9242940545082092,0.9103526473045349,0.014880242757499218
3,15,xi_reb,0.07,0.8565549254417419,0.8627760410308838,0.004343412350863218
3,15,z_A0_eff,0.26,0.8226703405380249,0.8295060992240906,0.011350397951900959
3,16,alpha,0.945,1.028302550315857,1.0233246088027954,0.003172066994011402
3,16,beta_r,0.89,1.1500284671783447,1.1363143920898438,0.01164512149989605
3,16,eta_col,0.705,0.8640550374984741,0.862500011920929,0.003194372169673443
3,16,xi_reb,0.33,0.8390694260597229,0.8404641151428223,0.00334593141451478
3,16,z_A0_eff,0.97,0.9481809139251709,0.9429569840431213,0.002589206211268902
3,17,alpha,0.075,1.1241999864578247,1.1358695030212402,0.008640559390187263
3,17,beta_r,0.595,0.7561745047569275,0.7526363134384155,0.008975876495242119
3,17,eta_col,0.875,0.6867108941078186,0.6814993023872375,0.0045152995735406876
3,17,xi_reb,0.345,0.8275312185287476,0.8290941119194031,0.0032901412341743708
3,17,z_A0_eff,0.09,0.8071972131729126,0.8133628964424133,0.005567966494709253
3,18,alpha,0.185,0.4829145669937134,0.49087509512901306,0.008269546553492546
3,18,beta_r,0.425,0.7996320724487305,0.804263174533844,0.025355538353323936
3,18,eta_col,0.825,0.9527183771133423,0.9417070746421814,0.012503165751695633
3,18,xi_reb,0.055,0.6299008131027222,0.634160041809082,0.0026089774910360575
