idx,name,finite_frac,median,iqr,min,max,outlier_frac_gt_10iqr,outlier_count_gt_10iqr,abs_skew,kurtosis
19,T_reb_std,1.0,0.7592689990997314,0.05026644468307495,0.6231960654258728,1.646980881690979,0.0028,42,5.719939708709717,67.09671020507812
54,UA_proxy,1.0,13.846044540405273,1.2110424041748047,-15.353681564331055,21.390871047973633,0.0027333333333333333,41,2.411285638809204,32.28811264038086
60,Qj_slope,1.0,0.009591519832611084,0.05842836946249008,-0.5928395986557007,0.37289658188819885,6.666666666666667e-05,1,0.45239999890327454,7.314437389373779
2,T_r_slope,1.0,0.035017117857933044,0.23155438899993896,-2.1796658039093018,0.7029671669006348,0.0,0,2.6099209785461426,16.60036849975586
20,T_reb_slope,1.0,-0.023535270243883133,0.2412172257900238,-0.6285641193389893,2.049480438232422,0.0,0,2.3352200984954834,15.05038833618164
8,T_j_slope,1.0,-0.0016425042413175106,0.26934170722961426,-1.6835734844207764,2.5195860862731934,0.0,0,0.6385889053344727,9.070837020874023
9,T_j_min,1.0,5.793623447418213,0.024022579193115234,5.591265678405762,5.818613052368164,0.0,0,2.132072925567627,8.171154022216797
25,Q_reb_std,1.0,10.503461837768555,0.5513954162597656,9.646892547607422,14.1148099899292,0.0,0,1.5383461713790894,6.18763542175293
64,corr_Qreb_FR,1.0,0.017966564744710922,0.13034449517726898,-0.3201889991760254,0.6855993866920471,0.0,0,1.5853890180587769,5.970626354217529
10,T_j_max,1.0,5.830619812011719,0.017428874969482422,5.761518955230713,5.87957763671875,0.0,0,1.1570383310317993,1.473894476890564
4,T_r_max,1.0,5.845423221588135,0.0019245147705078125,5.84112548828125,5.855017185211182,0.0,0,0.7008395791053772,1.3171806335449219
63,corr_Qj_FR,1.0,-0.008555103093385696,0.12728175520896912,-0.5113614797592163,0.2712554335594177,0.0,0,0.43070298433303833,1.0591768026351929
12,Q_j_mean,1.0,15.753332138061523,0.3018913269042969,14.291189193725586,16.273433685302734,0.0,0,0.91678386926651,1.058355689048767
39,F_B_norm_min,1.0,0.689359188079834,0.0008186101913452148,0.6854792833328247,0.6910922527313232,0.0,0,0.693926215171814,0.8252933621406555
11,T_j_q_mean,1.0,5.809674263000488,0.01569843292236328,5.744908332824707,5.829758167266846,0.0,0,1.0186693668365479,0.7899125814437866
40,F_B_norm_max,1.0,0.6969250440597534,0.0008157491683959961,0.6952523589134216,0.7006471753120422,0.0,0,0.6446794867515564,0.7346549034118652
6,T_j_mean,1.0,5.809653282165527,0.015709877014160156,5.75460958480835,5.827331066131592,0.0,0,1.0173779726028442,0.7280967831611633
46,R_norm_max,1.0,0.6969281435012817,0.000810086727142334,0.6952555775642395,0.7004245519638062,0.0,0,0.6647687554359436,0.7243627905845642
45,R_norm_min,1.0,0.6893588304519653,0.0008245706558227539,0.6856831312179565,0.691034734249115,0.0,0,0.6586348414421082,0.7146399021148682
59,Tr_Tj_ratio,1.0,0.7072577476501465,0.00821983814239502,0.6970650553703308,0.7362810969352722,0.0,0,0.9902798533439636,0.7143416404724121
7,T_j_std,1.0,1.0731898546218872,0.5875315070152283,0.570759117603302,2.856877565383911,0.0,0,0.7258498668670654,0.3647121489048004
62,Rn_final,1.0,0.6931397318840027,0.002018153667449951,0.6873844861984253,0.699796736240387,0.0,0,0.026555055752396584,-0.000176937275682576
41,F_B_norm_q_mean,1.0,0.6931462287902832,0.00036579370498657227,0.6920133233070374,0.6942625045776367,0.0,0,0.004104084335267544,-0.007230823859572411
44,R_norm_slope,1.0,-2.9517120765376603e-06,0.0006389515474438667,-0.0018843896687030792,0.0018610440893098712,0.0,0,0.04065185785293579,-0.010473592206835747
42,R_norm_mean,1.0,0.6931498050689697,0.00018262863159179688,0.6926090121269226,0.6937282085418701,0.0,0,0.0032114617060869932,-0.010739986784756184
47,R_norm_q_mean,1.0,0.693151593208313,0.00036716461181640625,0.6919797658920288,0.6941516995429993,0.0,0,0.005127208307385445,-0.025734029710292816
37,F_B_norm_std,1.0,0.002973864320665598,0.0002618194557726383,0.002179639181122184,0.0037119798362255096,0.0,0,0.05879095941781998,-0.032314613461494446
38,F_B_norm_slope,1.0,3.0279147722467314e-06,0.0006361856940202415,-0.0017015439225360751,0.002054548589512706,0.0,0,0.04265735670924187,-0.043065790086984634
43,R_norm_std,1.0,0.0029751877300441265,0.0002619917504489422,0.00229167053475976,0.0037558774929493666,0.0,0,0.049896448850631714,-0.06982798874378204
36,F_B_norm_mean,1.0,0.6931471228599548,0.00018322467803955078,0.6927151083946228,0.6936357617378235,0.0,0,0.02745034545660019,-0.10329705476760864
23,T_reb_q_mean,1.0,5.938767433166504,0.038046836853027344,5.919497489929199,6.022094249725342,0.0,0,0.8379815816879272,-0.27769535779953003
21,T_reb_min,1.0,5.931036949157715,0.03749418258666992,5.905536651611328,6.0129313468933105,0.0,0,0.8336197733879089,-0.28238803148269653
22,T_reb_max,1.0,5.946547985076904,0.03746652603149414,5.926235198974609,6.029818534851074,0.0,0,0.8307518362998962,-0.2874557673931122
